current_gold,total_gold,level,xp,cs,jg,champion_mastery,damage_taken_per_min,champion_mastery_median,champion_mastery_min,ward_placed,elite_monster_killed,building_killed,champion_killed,winner
1159.0,-985.0,-2.0,104.0,-40.0,-8.0,0.0,-77.89999999999964,0,0,23,-2,-1,-2,0
-2119.0,1431.0,2.0,1344.0,33.0,8.0,0.0,285.0999999999997,0,0,-1,2,2,1,0
756.0,1761.0,-1.0,-1697.0,15.0,-20.0,0.0,-218.70000000000005,0,0,-10,-1,2,0,1
-405.0,3610.0,-1.0,-602.0,-35.0,-6.0,0.0,263.5,0,0,0,5,3,6,0
3662.0,2497.0,1.0,-724.0,97.0,-49.0,0.0,-479.0,0,0,3,3,3,2,0
-1148.0,-757.0,3.0,1308.0,-46.0,-20.0,0.0,-159.39999999999986,0,0,5,-3,-3,-1,0
-120.0,-1040.0,-2.0,-2108.0,-1.0,57.0,0.0,505.6999999999998,0,0,184,1,-1,-3,0
-949.0,-10858.0,-6.0,-7333.0,-36.0,-32.0,0.0,729.1999999999998,0,0,-14,0,-7,-23,1
-2884.0,-972.0,1.0,1548.0,-14.0,33.0,0.0,744.0999999999999,0,0,16,0,-1,-1,0
327.0,3972.0,2.0,1564.0,-13.0,2.0,0.0,-475.99999999999955,0,0,26,1,2,9,0
